 ,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,
1982:Q3,73.32,75.76,77.73,75.55,69.53,76.74,69.38,62.85,73.39,53.32,49.80,78.78,72.69,34.29,57.70,72.72,57.14,73.13,71.93,61.77,96.05,8.42,46.76,
1982:Q4,73.03,75.36,74.81,75.30,68.96,76.66,69.22,63.74,72.30,53.34,49.44,78.46,73.06,34.88,58.22,72.14,57.30,71.61,71.23,61.92,95.95,8.21,44.65,
1983:Q1,72.74,74.86,74.45,75.34,68.91,74.76,69.17,64.57,73.03,53.47,49.15,79.26,73.12,35.27,58.83,70.88,57.43,68.85,71.39,62.24,97.10,7.86,43.17,
1983:Q2,71.99,74.61,74.13,75.40,68.92,74.59,68.90,65.20,72.15,54.49,49.10,79.73,73.83,36.24,59.03,70.79,58.07,69.72,71.16,62.62,96.72,7.65,42.97,
1983:Q3,73.52,74.38,78.00,75.53,68.56,74.50,68.54,65.56,71.70,54.37,49.07,80.09,74.24,37.64,59.22,70.40,58.13,70.87,70.67,63.37,96.84,7.47,43.15,
1983:Q4,73.33,74.14,76.38,75.39,68.93,74.48,68.11,65.63,71.53,54.49,49.11,79.50,74.36,38.33,58.93,70.24,58.66,72.00,70.44,64.44,97.60,7.31,40.79,
1984:Q1,73.55,74.08,75.33,75.48,69.39,75.80,67.13,65.26,71.30,54.89,49.47,79.29,74.99,38.90,58.75,70.72,58.68,73.55,71.16,65.46,98.70,7.08,38.53,
1984:Q2,73.76,73.69,77.90,75.69,69.73,75.79,66.79,66.03,70.49,54.84,49.58,79.81,75.24,39.67,58.51,71.23,59.94,73.73,71.79,66.36,99.90,6.99,38.27,
1984:Q3,73.46,73.35,78.22,75.95,70.38,75.71,66.60,66.28,70.59,55.88,49.73,80.40,75.44,40.47,58.09,71.79,60.09,73.39,72.59,67.05,99.42,6.95,38.75,
1984:Q4,73.72,73.20,78.85,76.12,70.62,75.49,66.54,66.33,69.72,56.96,49.93,81.06,76.76,40.91,58.02,72.31,60.60,72.83,72.59,67.40,98.22,6.96,38.87,
1985:Q1,74.02,72.10,78.84,76.19,70.44,73.88,66.55,67.16,70.06,57.63,50.25,81.67,76.66,41.23,57.80,70.98,60.81,71.84,72.75,67.40,97.89,6.98,41.07,
1985:Q2,73.53,72.63,81.56,76.64,70.85,73.96,66.73,67.30,70.01,57.96,50.40,81.69,77.00,42.08,58.14,72.65,60.93,71.61,73.77,68.10,96.17,7.07,40.66,
1985:Q3,73.49,73.45,81.14,77.15,71.74,74.47,67.03,67.86,71.08,58.19,50.46,82.06,77.90,42.63,58.88,72.81,60.96,71.77,74.55,68.06,95.08,7.22,39.44,
1985:Q4,73.91,74.37,81.48,77.28,72.22,75.48,67.44,68.51,71.55,58.82,50.40,82.13,78.55,43.58,59.78,73.89,60.97,72.38,75.23,68.52,94.23,7.43,42.30,
1986:Q1,73.81,76.01,80.92,77.92,73.11,78.14,68.12,68.36,71.88,59.58,49.90,82.01,78.57,45.63,61.17,73.24,62.76,73.04,76.36,69.04,93.15,7.96,46.16,
1986:Q2,73.29,76.50,81.85,78.41,74.59,79.08,68.62,68.61,72.18,60.87,49.93,82.63,78.72,47.39,62.37,74.20,62.37,73.88,76.20,69.64,92.25,8.18,49.08,
1986:Q3,72.49,76.68,81.03,79.28,75.16,79.45,69.13,69.49,72.26,60.51,50.16,83.30,78.64,48.57,62.90,75.12,61.61,74.84,76.92,69.95,92.74,8.28,51.28,
1986:Q4,72.04,76.67,80.76,80.09,75.82,79.28,69.66,70.54,72.39,60.41,50.58,83.93,78.67,50.54,63.18,74.59,61.25,75.69,77.34,70.00,93.39,8.33,52.67,
1987:Q1,71.43,75.54,81.99,80.87,76.68,77.53,70.19,71.86,71.92,60.24,51.44,84.41,78.94,51.03,63.06,74.16,61.08,78.07,76.98,70.20,94.38,8.07,53.81,
1987:Q2,71.54,75.75,81.20,81.81,77.14,77.14,70.80,72.95,72.87,61.06,51.91,84.99,79.46,52.60,63.09,74.45,61.82,78.27,77.47,69.83,93.96,8.07,55.02,
1987:Q3,71.72,76.15,83.93,82.50,77.52,77.05,71.46,73.85,72.90,61.64,52.24,85.35,80.00,53.52,63.06,74.94,61.62,79.37,76.90,70.57,93.43,8.09,56.58,
1987:Q4,71.20,76.62,83.38,83.06,78.14,77.23,72.17,74.14,73.22,62.14,52.47,85.83,80.74,54.94,63.50,75.08,61.12,80.30,76.72,71.34,94.22,8.12,57.62,
1988:Q1,71.83,77.74,82.79,83.97,79.18,78.14,73.04,72.99,73.69,63.01,52.22,86.56,82.16,56.21,63.92,75.17,60.90,79.67,76.96,72.12,94.55,7.59,58.37,
1988:Q2,72.16,78.06,84.80,84.72,79.53,78.44,73.77,74.10,74.48,63.94,52.46,87.28,83.31,57.68,64.80,75.26,61.29,80.62,76.94,72.73,95.12,7.98,59.09,
1988:Q3,72.43,78.35,86.83,85.57,79.44,78.61,74.47,74.83,74.83,64.70,52.80,87.84,84.22,58.93,65.72,75.59,62.03,81.06,77.10,73.27,96.42,8.74,60.29,
1988:Q4,73.68,78.74,88.15,86.35,80.31,78.61,75.13,76.08,75.77,65.30,53.22,88.52,84.48,59.64,67.15,76.79,62.61,81.81,77.20,73.81,96.03,10.08,60.59,
1989:Q1,74.86,79.56,89.01,87.15,79.71,78.85,75.46,78.21,76.10,66.39,54.31,89.14,85.89,60.24,68.67,77.97,62.54,82.67,76.95,74.33,95.38,15.81,60.34,
1989:Q2,75.42,80.33,90.13,87.41,80.04,78.80,76.20,79.38,76.12,67.46,54.82,89.72,86.37,61.16,69.97,79.06,62.04,82.05,77.13,74.24,95.09,18.48,60.88,
1989:Q3,75.23,81.27,87.77,88.12,81.30,78.87,77.06,80.32,77.49,68.86,55.32,90.53,87.22,62.56,71.43,80.31,63.14,81.45,78.35,74.50,95.71,20.69,61.98,
1989:Q4,76.57,82.31,88.11,88.02,82.36,79.06,78.02,80.90,78.31,68.92,55.81,90.94,88.67,63.13,72.55,81.78,63.26,80.87,79.20,74.84,94.83,22.50,63.07,
